frame,sampleFrame,dtSeconds,level,volume,loudness,peak,average,bass,mid,treble,bassLevel,midLevel,trebleLevel,energy,dynamics,bpm,centroid,noiseFloor,buildup,descent,dropDetected,teaseDetected,anomaly,gateGain,spectralFlatness,mood
12,13,0.011609977,0.411798596,0.000924027234,0.248763829,0.00331324153,0.000732179615,0.0337987766,0.285432458,0.190285802,0.411798596,0.34637326,0.411798596,0.573139787,0.031202022,0,43.8313713,0,0,0,0,0,0,0.411798596,0.182576314,Silent
13,14,0.011609977,0.435326666,0.000965985411,0.22593905,0.0029252253,0.000777270994,0.0327601619,0.284851342,0.238471657,0.435326666,0.34584102,0.435326666,0.79261452,0.0311868209,0,50.0086632,0,0,0,0,0,0,0.435326666,0.170917958,Silent
14,15,0.011609977,0.457913607,0.00101635559,0.207293525,0.00297522475,0.000809677877,0.0341340303,0.292361677,0.243197277,0.457913607,0.355136991,0.457913607,0.643350244,0.0315232985,0,35.3840408,0,0,0,0,0,0,0.457913607,0.146003559,Silent
15,16,0.011609977,0.479597062,0.0010360555,0.191740334,0.00346686598,0.000831262267,0.0353551395,0.302769125,0.244496509,0.479597062,0.367963105,0.479597062,0.523392439,0.0340846181,0,31.9780312,0,0,0,0,0,0,0.479597062,0.176852912,Silent
16,17,0.011609977,0.500413179,0.000873736455,0.176085338,0.00198430056,0.000726009952,0.045496203,0.326634616,0.238342881,0.500413179,0.397166073,0.500413179,0.472395569,0.0378213115,0,25.1907539,0,0,0,0,0,0,0.500413179,0.161148161,Silent
17,18,0.011609977,0.52039665,0.000826753792,0.162073851,0.00192442071,0.000677078555,0.0529855005,0.360849202,0.228757516,0.52039665,0.438988179,0.52039665,0.470440805,0.0421526022,0,21.2607765,0,0,0,0,0,0,0.52039665,0.145778999,Silent
18,19,0.011609977,0.539580762,0.00112317898,0.154610455,0.00266617327,0.000979804434,0.0583557859,0.397242635,0.216684878,0.539580762,0.483504087,0.539580762,0.558978081,0.0466219671,0,16.5551624,0,0,0,0,0,0,0.539580762,0.108311199,Silent
19,20,0.011609977,0.557997525,0.00504910294,0.207155406,0.014606731,0.00394533854,0.0542932749,0.398469001,0.233673647,0.557997525,0.485239416,0.557997525,4.46893549,0.0492473431,0,38.5574913,0,0,0,0,0,0,0.557997525,0.0964574814,Silent
20,21,0.011609977,0.575677633,0.0100882268,0.327405483,0.0241576154,0.0081317611,0.0514443442,0.428486049,0.226267546,0.575677633,0.522054017,0.575677633,5.83175993,0.0492236428,0,22.3358822,0,0,0,0,0,0,0.575677633,0.0869309157,Silent
21,22,0.011609977,0.592650533,0.0106556797,0.438129842,0.0247656796,0.00858687237,0.0479830727,0.455638647,0.218888536,0.592650533,0.555413604,0.592650533,5.79062033,0.0491995737,0,22.1855736,0,0,0,0,0,0,0.592650533,0.0904319435,Silent
22,23,0.011609977,0.608944535,0.00375058991,0.428669214,0.00987222604,0.00295064412,0.0460651703,0.456251651,0.224046186,0.608944535,0.556439042,0.608944535,1.92516959,0.0491755567,0,32.9353561,0,0,0,0,0,0,0.608944535,0.142922819,Silent
23,24,0.011609977,0.624586761,0.00165681331,0.389221042,0.0042078062,0.00133956003,0.0444524959,0.451103866,0.255859047,0.624586761,0.550436139,0.624586761,1.4209131,0.0491517186,0,40.145153,0,0,0,0,0,0,0.624586761,0.167549387,Silent
24,25,0.011609977,0.639603317,0.00216509681,0.36331436,0.0075292117,0.00163128437,0.0442933924,0.453239053,0.256363451,0.639603317,0.553318143,0.639603317,1.42368972,0.0491279699,0,32.5801239,0,0,0,0,0,0,0.639603317,0.141264811,Silent
25,26,0.011609977,0.654019177,0.00211936259,0.340607643,0.00619738735,0.00171302224,0.047730092,0.453952551,0.257131606,0.654019177,0.554466426,0.654019177,1.34461725,0.0491043143,0,32.8347397,0,0,0,0,0,0,0.654019177,0.155100003,Silent
26,27,0.011609977,0.667858422,0.00285027991,0.332270712,0.00772264181,0.00241805287,0.0491116047,0.456843644,0.256371498,0.667858422,0.558276772,0.667858422,1.61861563,0.049080804,0,29.2776966,0,0,0,0,0,0,0.667858422,0.157224253,Silent
27,28,0.011609977,0.681144059,0.00782229286,0.399764478,0.0184889156,0.00670473184,0.0451918319,0.500908375,0.247811168,0.681144059,0.612431467,0.681144059,5.38771343,0.0490571447,0,24.6455879,0,0,0,0,0,0,0.681144059,0.105982043,Silent
28,29,0.011609977,0.69389832,0.00593948131,0.428892016,0.0193339307,0.00464808615,0.0413415246,0.507774234,0.245875865,0.647591054,0.621136487,0.69389832,3.25384545,0.0490334854,0,28.9307842,0,0,0,0,0,0,0.69389832,0.139542654,Silent
29,30,0.011609977,0.706142366,0.00233801152,0.399628401,0.00713137118,0.00187356747,0.0404810607,0.508917689,0.247275487,0.634429574,0.622846663,0.703351319,1.17791474,0.0490098372,0,28.3475418,0,0,0,0,0,0,0.706142366,0.131790727,Silent
30,31,0.011609977,0.7178967,0.00210719393,0.371292055,0.00629227282,0.0017726965,0.0494577736,0.516690314,0.239385128,0.7178967,0.632675767,0.681248605,1.48936677,0.048986353,0,20.6519032,0,0,0,0,0,0,0.7178967,0.108169042,Silent
31,32,0.011609977,0.729180813,0.00167349505,0.340700686,0.00425038487,0.00134513027,0.0643985942,0.529005527,0.228794709,0.729180813,0.648079455,0.651435912,1.00364089,0.0489629693,0,18.4710808,0,0,0,0,0,0,0.729180813,0.10476318,Silent
32,33,0.011609977,0.740013599,0.00185493135,0.317419559,0.00417854544,0.00154278963,0.0629593804,0.574337661,0.215766981,0.740013599,0.703967512,0.614650011,0.933420241,0.0490917601,0,16.4662304,0,0,0,0,0,0,0.740013599,0.0933969989,Silent
33,34,0.011609977,0.75041306,0.00273821875,0.310879886,0.00939987414,0.00216228655,0.0609311834,0.597500682,0.204937086,0.75041306,0.732724845,0.584091187,1.12177515,0.0506698154,0,19.0065937,0,0,0,0,0,0,0.75041306,0.138153851,Silent
34,35,0.011609977,0.76039654,0.0145087345,0.481878906,0.0369635299,0.0115063889,0.0569293872,0.601857066,0.202333719,0.76039654,0.738436401,0.576959848,11.6187773,0.0506451093,147.783249,22.110199,0,0,0,0,0,0,0.76039654,0.0764608607,Silent
35,36,0.011609977,0.769980669,0.0154466489,0.641296744,0.0467940383,0.0128167719,0.0514670126,0.612298667,0.198253557,0.763944805,0.751623333,0.565608025,11.0589705,0.0534319319,147.783249,21.2372417,0,0,0,0,0,0,0.769980669,0.0831554309,Silent
36,37,0.011609977,0.779181421,0.0149874166,0.769913435,0.0430647656,0.0121123176,0.0470321812,0.639943957,0.190429986,0.698466122,0.779181421,0.543559492,11.4800005,0.0678987429,147.783249,19.7879963,0,0,0,0,0,0,0.779181421,0.0824925676,Silent
37,38,0.011609977,0.788014174,0.00870221388,0.784959674,0.0162380692,0.00763168978,0.0423754193,0.646188855,0.18686752,0.629624248,0.788014174,0.53365773,4.73024321,0.0782660544,147.783249,21.3231449,0,0,0,0,0,0,0.788014174,0.0756319985,Silent
38,39,0.011609977,0.79649359,0.00555096567,0.750480235,0.0135736177,0.00457924651,0.0392962769,0.637860894,0.229945511,0.584165692,0.782830596,0.657008708,3.49208212,0.0829541981,147.783249,33.1230164,0,0,0,0,0,0,0.79649359,0.196283132,Silent
39,40,0.011609977,0.804633856,0.00380491884,0.694981992,0.0100210253,0.00318050198,0.0371478498,0.623819709,0.280803442,0.552504182,0.765981197,0.802723229,3.26664853,0.0841300562,147.783249,35.4616432,0,0,0,0,0,0,0.804633856,0.157995388,Silent
40,41,0.011609977,0.812448502,0.00358581194,0.644521892,0.00853525195,0.00292724208,0.0345560424,0.66460669,0.262921274,0.514213026,0.812448502,0.751980126,2.18778992,0.0840880722,147.783249,17.8673954,0,0,0,0,0,0,0.812448502,0.0885625854,Silent
41,42,0.011609977,0.819950581,0.00631877501,0.642625213,0.0128138866,0.0054837456,0.0320557095,0.666577101,0.254212916,0.477245361,0.81870991,0.727437019,4.04919863,0.0840460956,147.783249,24.1564732,0,0,0,0,0,0,0.819950581,0.0938765407,Silent
42,43,0.011609977,0.82715255,0.00603419868,0.63674438,0.0111046052,0.00531310448,0.0297417343,0.668702602,0.24668318,0.44301641,0.821731389,0.706243634,3.42609477,0.0840041339,147.783249,24.4028912,0,0,0,0,0,0,0.82715255,0.130296424,Silent
43,44,0.011609977,0.834066451,0.00720893173,0.649366736,0.0133654308,0.00641079713,0.0281544384,0.701843679,0.230795398,0.419582784,0.834066451,0.661088169,3.11542249,0.0842821673,147.783249,17.8484497,0,0,0,0,0,0,0.834066451,0.0779767781,Silent
44,45,0.011609977,0.840703785,0.00670824805,0.652585447,0.0115765957,0.0059330049,0.0277623795,0.724251628,0.214555323,0.413946897,0.840703785,0.614877641,3.11691666,0.0847963989,147.783249,17.415575,0,0,0,0,0,0,0.840703785,0.0982271135,Silent
45,46,0.011609977,0.847075641,0.00769852148,0.670175433,0.012904889,0.00686665857,0.026316436,0.745560884,0.199455529,0.392583668,0.847075641,0.571890295,3.4219439,0.0868234113,147.783249,17.2216339,0,0,0,0,0,0,0.847075641,0.098498933,Silent
46,47,0.011609977,0.853192627,0.00806389377,0.690607548,0.0138121881,0.00717679504,0.0255532525,0.764747858,0.184069857,0.38138935,0.853192627,0.528039634,3.62309074,0.0900698975,147.783249,15.7298918,0,0,0,0,0,0,0.853192627,0.0817460716,Silent
47,48,0.011609977,0.859064937,0.00697483635,0.691638947,0.0122448253,0.00621580426,0.024864601,0.782912791,0.16897954,0.371296734,0.859064937,0.484992713,3.23596644,0.092335999,147.783249,14.0775108,0,0,0,0,0,0,0.859064937,0.0569536015,Silent
48,49,0.011609977,0.864702344,0.00720014703,0.695895314,0.0171630904,0.00617747614,0.0240799431,0.764792681,0.220037863,0.35975951,0.864702344,0.631852508,4.61624193,0.0944134444,147.783249,28.7294197,0,0,0,0,0,0,0.864702344,0.153665423,Silent
49,50,0.011609977,0.870114267,0.022164166,0.923973441,0.0539010093,0.0179990791,0.0241984222,0.756461024,0.217152283,0.361710459,0.870114267,0.62387836,16.2117786,0.116638996,147.783249,22.7654457,0,0,0,0,0,0,0.870114267,0.0553988032,Silent
50,51,0.011609977,0.875309706,0.0187560469,1.0667181,0.0554249398,0.0151441395,0.0253725573,0.75074774,0.213057756,0.379450798,0.875309706,0.612421036,13.0915346,0.142453313,147.783249,20.4347706,0,0,0,0,0,0,0.875309706,0.0478384309,Silent
51,52,0.011609977,0.880297303,0.00917578302,1.04434705,0.026899213,0.0072964374,0.0272919796,0.740113199,0.218348742,0.408360302,0.880297303,0.627943575,7.54493952,0.157305747,147.783249,24.5253487,0,0,0,0,0,0,0.880297303,0.0856517479,Silent
52,53,0.011609977,0.885085404,0.00646031229,0.98459971,0.0147264022,0.00532028405,0.0262452941,0.735863805,0.216282874,0.39289555,0.881777525,0.622313619,4.07533169,0.164265573,147.783249,23.9006348,0,0,0,0,0,0,0.885085404,0.107561089,Silent
53,54,0.011609977,0.889681995,0.00412184652,0.898737431,0.0104515497,0.00353361992,0.0248844922,0.730830014,0.216503605,0.372710556,0.876183808,0.623260379,3.17363667,0.166606024,147.783249,26.5632534,0,0,0,0,0,0,0.889681995,0.14256002,Silent
54,55,0.011609977,0.894094706,0.00270764343,0.804541528,0.00657352991,0.00220798701,0.0444057994,0.719943225,0.220970437,0.665426016,0.863563478,0.636437476,2.09922433,0.166522816,147.783249,27.5818062,0,0,0,0,0,0,0.894094706,0.1139208,Silent
55,56,0.011609977,0.898330927,0.00156091992,0.707274079,0.00528493477,0.00126160227,0.0441493802,0.699501872,0.28861931,0.661914527,0.839464128,0.831695199,1.52744913,0.16643998,147.783249,34.238018,0,0,0,0,0,0,0.898330927,0.157620579,Silent
56,57,0.011609977,0.902397692,0.00608894089,0.692517102,0.0255170744,0.00416201958,0.0423365645,0.67641443,0.350532055,0.635053217,0.812163234,0.902397692,4.81023741,0.166357294,147.783249,37.3466759,0,0,0,0,0,0,0.902397692,0.17063266,Silent
57,58,0.011609977,0.906301796,0.0189206917,0.872449875,0.0373016447,0.0165742338,0.0381262749,0.660341561,0.36844781,0.572184563,0.793261349,0.906301796,14.4018879,0.177524835,147.783249,38.3903847,0,0,0,0,0,0,0.906301796,0.156915635,Silent
58,59,0.011609977,0.910049736,0.0073723197,0.852167189,0.0155078825,0.00638847938,0.0360635743,0.726594388,0.340134114,0.541499078,0.873286843,0.910049736,4.30586481,0.183074832,147.783249,17.5870895,0,0,0,0,0,0,0.910049736,0.0595630556,Silent
59,60,0.011609977,0.913647771,0.00298674963,0.769143343,0.006973668,0.0024937538,0.0354420356,0.736041307,0.317707658,0.532432914,0.885083616,0.900324583,1.95523357,0.184330136,147.783249,19.6151791,0,0,0,0,0,0,0.913647771,0.112351514,Silent
60,61,0.011609977,0.91710186,0.00219764351,0.686736524,0.00548271881,0.00184739614,0.0436498597,0.735949099,0.299024016,0.656064034,0.885415375,0.847802579,1.43124092,0.184238225,147.783249,20.0083237,0,0,0,0,0,0,0.91710186,0.0962664336,Silent
61,62,0.011609977,0.920417786,0.00242067035,0.620036125,0.00500875572,0.0020088274,0.0438570529,0.767956734,0.274773389,0.65950793,0.920417786,0.779436111,1.64997578,0.184146717,147.783249,15.4753819,0,0,0,0,0,0,0.920417786,0.0863496289,Silent
62,63,0.011609977,0.923601091,0.0298605356,0.974938631,0.102132656,0.0164946634,0.0403694585,0.795378983,0.254400402,0.607366323,0.923601091,0.722006202,11.8312836,0.20635885,147.783249,17.8155994,0,0,0,0,0,0,0.923601091,0.0801708996,Silent
63,64,0.011609977,0.926657021,0.0310526378,1.29448736,0.10223005,0.0219100881,0.0375025235,0.834904075,0.230812088,0.564515054,0.926657021,0.655388594,14.5151043,0.240546048,147.783249,11.2887821,0,0,0,0,0,0,0.926657021,0.0291049145,Silent
64,65,0.011609977,0.929590762,0.00427423231,1.16442776,0.0199735481,0.00319592818,0.0359539986,0.769731045,0.472688407,0.541476309,0.920918941,0.929590762,7.88493443,0.255408585,147.783249,55.0708389,0,0,0,0,0,0,0.929590762,0.241010681,Silent
65,66,0.011609977,0.932407141,0.00320180273,1.03779066,0.0104395719,0.00257517584,0.0352211483,0.762093127,0.4429515,0.530704677,0.912236989,0.932407141,3.1303184,0.26120472,147.783249,24.0341873,0,0,0,0,0,0,0.932407141,0.114472106,Silent
66,67,0.011609977,0.935110867,0.00271348166,0.922824323,0.00572513882,0.00224551628,0.0382589102,0.762460113,0.408441454,0.576765418,0.913132787,0.935110867,2.08158708,0.262530982,147.783249,19.998909,0,0,0,0,0,0,0.935110867,0.101624243,Silent
67,68,0.011609977,0.937706411,0.00293395016,0.82840997,0.0061148461,0.0024720612,0.0382619612,0.783544242,0.3729074,0.577100039,0.937706411,0.937706411,2.07386756,0.262399971,147.783249,16.4060841,0,0,0,0,0,0,0.937706411,0.0880969316,Silent
68,69,0.011609977,0.940198183,0.00221720687,0.737406552,0.00482389284,0.00186759792,0.0370428972,0.814801931,0.338461131,0.558992624,0.940198183,0.913449168,1.56673706,0.262269646,147.783249,13.7522039,0,0,0,0,0,0,0.940198183,0.0656920448,Silent
69,70,0.011609977,0.942590237,0.00200392865,0.65685451,0.00424832664,0.00162716326,0.0360100903,0.815812349,0.311422557,0.543678939,0.942590237,0.840897083,1.24629176,0.262139857,147.783249,17.1081982,0,0,0,0,0,0,0.942590237,0.114927486,Silent
